"num";"Наименование Технологические элементы(label)";"Код Технологические элементы(value)";"Комментарии";"Используемое изображение";"Другие варианты изображения";"Готово к проду"
"109";"Google Cloud Firestore";"GOOGLE_CLOUD_FIRESTORE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_google-cloud-firestore.png?version=1&modificationDate=1632303041727&api=v2"";""Image"")";;
"110";"Google Cloud Spanner";"GOOGLE_CLOUD_SPANNER";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_google-cloud-spanner.png?version=1&modificationDate=1632303190363&api=v2"";""Image"")";;
"111";"Grafana";"GRAFANA";"Обслуживание / поддержка / Мониторинг";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/monitoring_grafana.png?version=1&modificationDate=1632303448972&api=v2"";""Image"")";;
"112";"Graphite";"GRAPHITE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_graphite.jpg?version=1&modificationDate=1632312886905&api=v2"";""Image"")";;
"113";"Graylog";"GRAYLOG";"Обслуживание / поддержка / Журналирование";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/log_graylog.jpg?version=1&modificationDate=1632313020708&api=v2"";""Image"")";;
"114";"Greenplum";"GREENPLUM";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_greenplum.jpg?version=1&modificationDate=1632313201508&api=v2"";""Image"")";;
"115";"H2";"H2";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_h2.jpg?version=1&modificationDate=1632313375443&api=v2"";""Image"")";;
"116";"haproxy";"HAPROXY";"Шлюз / Балансировщик";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/balancer_haproxy.png?version=2&modificationDate=1632313624667&api=v2"";""Image"")";;
"117";"Hazelcast";"HAZELCAST";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_hazelcast.png?version=1&modificationDate=1632313722529&api=v2"";""Image"")";;
"118";"HBase";"HBASE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_hbase.png?version=1&modificationDate=1632313848595&api=v2"";""Image"")";;
"119";"Hive";"HIVE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_hive.png?version=1&modificationDate=1632313992701&api=v2"";""Image"")";;
"120";"HyperSQL";"HYPERSQL";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_hypersql.jpg?version=1&modificationDate=1632314089006&api=v2"";""Image"")";;
"121";"IBM Cloudant";"IBM_CLOUDANT";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_ibm-cloudant.png?version=2&modificationDate=1632314308633&api=v2"";""Image"")";;
"122";"IBM Db2";"IBM_DB2";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_ibm-db2.jpg?version=1&modificationDate=1632314418282&api=v2"";""Image"")";;
"123";"Impala";"IMPALA";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_apache-impala_v2.png?version=1&modificationDate=1633005141027&api=v2"";""Image"")";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_apache-impala.png?version=2&modificationDate=1633005166534&api=v2"";""Image"")";
"124";"InfluxDB";"INFLUXDB";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_influx-db.png?version=1&modificationDate=1632314721771&api=v2"";""Image"")";;
"125";"Informatica PowerCenter";"INFORMATICA_POWERCENTER";"Хранилище \ ETL";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/etl_informatica.png?version=1&modificationDate=1632314904301&api=v2"";""Image"")";;
"126";"Informix";"INFORMIX";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_informix.jpg?version=1&modificationDate=1632315059849&api=v2"";""Image"")";;
"127";"Ingres";"INGRES";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_ingres.png?version=1&modificationDate=1632315136406&api=v2"";""Image"")";;
"128";"Interbase";"INTERBASE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_interbase.png?version=1&modificationDate=1632315222808&api=v2"";""Image"")";;
"129";"InterSystems Caché";"INTERSYSTEMS_CACHÉ";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_intersystemcache.jpg?version=2&modificationDate=1632315409267&api=v2"";""Image"")";;
"130";"Jackrabbit";"JACKRABBIT";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_jackrabbit.png?version=1&modificationDate=1632315920017&api=v2"";""Image"")";;
"131";"Jira";"JIRA";"Обслуживание / поддержка / Прочее";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/other_jira.png?version=1&modificationDate=1632319441221&api=v2"";""Image"")";;
"132";"JMS";"JMS";"Интеграционные компоненты / Интеграционные поток / Message Flow";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/integreation-message-flow_jms.png?version=1&modificationDate=1632319562824&api=v2"";""Image"")";;
"133";"JVM";"JVM";"Серверная часть / All in One (логика + презентация + …)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/all-in-one_jvm.png?version=1&modificationDate=1632319671514&api=v2"";""Image"")";;
"134";"Kaspersky ES";"KASPERSKY_ES";"Клиентская часть / Агент (исполняется без участия пользователя)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/agent_kaspersky-es.png?version=1&modificationDate=1632319863898&api=v2"";""Image"")";;
"135";"KDB+";"KDB+";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_kx.png?version=1&modificationDate=1632320009062&api=v2"";""Image"")";;
"136";"Knative";"KNATIVE";"Серверная часть / Serverless функция";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/servless_knative.jpg?version=2&modificationDate=1632320146387&api=v2"";""Image"")";;
"137";"Kubeless";"KUBELESS";"Серверная часть / Serverless функция";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/servless_kubeless.png.png?version=1&modificationDate=1632320278616&api=v2"";""Image"")";;
"138";"LakeFS";"LAKEFS";"Хранилище \ Объектное хранилище (S3, CEPH, BLOB и др.)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/object_storage_lake-fs.jpg?version=1&modificationDate=1632320665901&api=v2"";""Image"")";;
"139";"LASR Server";"LASR_SERVER";"Хранилище \ Аналитика";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/sas.png?version=2&modificationDate=1633077790629&api=v2"";""Image"")";;
"140";"LevelDB";"LEVELDB";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_leveldb.png.png?version=1&modificationDate=1633005418390&api=v2"";""Image"")";;
"141";"Lighttpd";"LIGHTTPD";"Серверная часть \ Web-контент (статика, клиентский JS, стили …)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/web_lighttpd.png?version=1&modificationDate=1633005578470&api=v2"";""Image"")";;
"142";"MariaDB";"MARIADB";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_mariaDB.png?version=1&modificationDate=1633005673981&api=v2"";""Image"")";;
"143";"MarkLogic";"MARKLOGIC";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_mark-logic.jpg?version=1&modificationDate=1633005774728&api=v2"";""Image"")";;
"144";"MaxDB";"MAXDB";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_maxdb.png?version=1&modificationDate=1633005881836&api=v2"";""Image"")";;
"145";"Microsoft Access";"MICROSOFT_ACCESS";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_microsoft-access.png?version=1&modificationDate=1633006037684&api=v2"";""Image"")";;
"146";"Microsoft Azure Cosmos DB";"MICROSOFT_AZURE_COSMOS_DB";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_azure-cosmos-db.png?version=1&modificationDate=1633006177957&api=v2"";""Image"")";;
"147";"Microsoft Azure Data Explorer";"MICROSOFT_AZURE_DATA_EXPLORER";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_azure-data-explorer.jpg?version=1&modificationDate=1633006297267&api=v2"";""Image"")";;
"148";"Microsoft Azure Search";"MICROSOFT_AZURE_SEARCH";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_azure-search.png?version=1&modificationDate=1633006616254&api=v2"";""Image"")";;
"149";"Microsoft Azure SQL Database";"MICROSOFT_AZURE_SQL_DATABASE";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_azure-SQL-database.png?version=1&modificationDate=1633006763468&api=v2"";""Image"")";;
"150";"Microsoft Azure Synapse Analytics";"MICROSOFT_AZURE_SYNAPSE_ANALYTICS";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_azure-synapse-analytics.png?version=1&modificationDate=1633006871122&api=v2"";""Image"")";;
"151";"Microsoft Azure Table Storage";"MICROSOFT_AZURE_TABLE_STORAGE";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_azure-table-storage.png?version=1&modificationDate=1633006998361&api=v2"";""Image"")";;
"152";"Microsoft SQL Server";"MICROSOFT_SQL_SERVER";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_microsoft-SQL-server.png?version=1&modificationDate=1633007166790&api=v2"";""Image"")";;
"153";"Minio";"MINIO";"Хранилище \ Объектное хранилище (S3, CEPH, BLOB и др.)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/object-storage_minio.png?version=1&modificationDate=1633007322768&api=v2"";""Image"")";;
"154";"MS IIS";"MS_IIS";"Серверная часть \ Web-контент (статика, клиентский JS, стили …)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/web_ms-iis.png?version=1&modificationDate=1633007487807&api=v2"";""Image"")";;
"155";"MySQL";"MYSQL";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_mysql.png?version=1&modificationDate=1633007795735&api=v2"";""Image"")";;
"156";"Neo4j";"NEO4J";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_neo4j.png?version=1&modificationDate=1633007875432&api=v2"";""Image"")";;
"157";"Netezza";"NETEZZA";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_netezza.jpg?version=1&modificationDate=1633008145495&api=v2"";""Image"")";;
"158";"Nexus CD";"NEXUS_CD";"Обслуживание / поддержка \ ФПД";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/fpd_nexus.png?version=1&modificationDate=1633008374656&api=v2"";""Image"")";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/Nexus.png?version=1&modificationDate=1633008459161&api=v2"";""Image"")";
"159";"Nexus CI";"NEXUS_CI";"Обслуживание / поддержка \ ФПД";"(вопрос)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/Nexus.png?version=1&modificationDate=1633008459161&api=v2"";""Image"")";
"160";"Nexus Registry";"NEXUS_REGISTRY";"Обслуживание / поддержка \ ФПД";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/fpd_nexus-repository.png?version=1&modificationDate=1633008826205&api=v2"";""Image"")";;
"161";"OpenDedup";"OPENDEDUP";"Хранилище \ Объектное хранилище (S3, CEPH, BLOB и др.)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/object_storage_open-dedup.png?version=1&modificationDate=1633009006538&api=v2"";""Image"")";;
"162";"OpenEdge";"OPENEDGE";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_open-edge.png?version=1&modificationDate=1633009540261&api=v2"";""Image"")";;
"163";"OpenFaaS";"OPENFAAS";"Серверная часть \ Serverless функция";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/serverless_open-faas.png?version=1&modificationDate=1633009717732&api=v2"";""Image"")";;
"164";"OpenIO";"OPENIO";"Хранилище \ Объектное хранилище (S3, CEPH, BLOB и др.)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/object-storage_openIO.png?version=1&modificationDate=1633009917435&api=v2"";""Image"")";;
"165";"Oracle Berkeley DB";"ORACLE_BERKELEY_DB";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_berkeleydb.png?version=1&modificationDate=1633010044638&api=v2"";""Image"")";;
"166";"Oracle Essbase";"ORACLE_ESSBASE";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_oracle-essbase.png?version=1&modificationDate=1633010199810&api=v2"";""Image"")";;
"167";"Oracle NoSQL";"ORACLE_NOSQL";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_oracle-NoSQL-database.gif?version=1&modificationDate=1633010374604&api=v2"";""Image"")";;
"168";"OrientDB";"ORIENTDB";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_orient-DB.png?version=1&modificationDate=1633010391760&api=v2"";""Image"")";;
"169";"Pivotal Greenplum";"PIVOTAL_GREENPLUM";"Хранилище \ Аналитика";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/analitics_pivotal-greenplum.png?version=1&modificationDate=1633010555956&api=v2"";""Image"")";;
"170";"PostGIS";"POSTGIS";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_postgis.png?version=1&modificationDate=1633010649936&api=v2"";""Image"")";;
"171";"PowerShell";"POWERSHELL";"Серверная часть \ Серверная утилита / Shell script";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/shell-script_power-shell.png?version=1&modificationDate=1633010842798&api=v2"";""Image"")";;
"172";"Presto";"PRESTO";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_presto.png?version=1&modificationDate=1633010946560&api=v2"";""Image"")";;
"173";"Prometheus";"PROMETHEUS";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_prometheus.png?version=1&modificationDate=1633075500294&api=v2"";""Image"")";;
"174";"Qlik Sense";"QLIK_SENSE";"Хранилище \ Аналитика";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/analytics_qlik-sense.png?version=1&modificationDate=1633075636916&api=v2"";""Image"")";;
"175";"QlikView";"QLIKVIEW";"Хранилище \ Аналитика";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/analytics_qlik-view.jpg?version=1&modificationDate=1633075769430&api=v2"";""Image"")";;
"176";"RavenDB";"RAVENDB";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_ravendb.png?version=1&modificationDate=1633075982457&api=v2"";""Image"")";;
"177";"Realm";"REALM";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_realm.png?version=1&modificationDate=1633076061306&api=v2"";""Image"")";;
"178";"Redis";"REDIS";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_redis.png?version=1&modificationDate=1633076154450&api=v2"";""Image"")";;
"179";"RethinkDB";"RETHINKDB";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_rethink-db.jpg?version=1&modificationDate=1633076277525&api=v2"";""Image"")";;
"180";"Riak KV";"RIAK_KV";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_riak-kv.png?version=1&modificationDate=1633076356345&api=v2"";""Image"")";;
"181";"RocksDB";"ROCKSDB";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_rocksdb.png?version=1&modificationDate=1633076440497&api=v2"";""Image"")";;
"182";"RPA";"RPA";"Обслуживание / поддержка \ RPA";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/support-rpa_rpa.png?version=1&modificationDate=1633076581623&api=v2"";""Image"")";;
"183";"SAP Adaptive Server";"SAP_ADAPTIVE_SERVER";"Хранилище \ СУБД (схема / данные)";"(вопрос)";;
"184";"SAP Advantage Database Server";"SAP_ADVANTAGE_DATABASE_SERVER";"Хранилище \ СУБД (схема / данные)";"(вопрос)";;
"185";"SAP HANA";"SAP_HANA";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_sap-hana.png?version=1&modificationDate=1633077249654&api=v2"";""Image"")";;
"186";"SAP IQ";"SAP_IQ";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_sap-iq.png?version=1&modificationDate=1633077400074&api=v2"";""Image"")";;
"187";"SAP SQL Anywhere";"SAP_SQL_ANYWHERE";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_sap-sql-anywhere.png?version=1&modificationDate=1633077517272&api=v2"";""Image"")";;
"188";"SAS Application Server";"SAS_APPLICATION_SERVER";"Хранилище \ Аналитика";"(вопрос)";;
"189";"SAS Compute tier";"SAS_COMPUTE_TIER";"Хранилище \ Аналитика";"(вопрос)";;
"190";"SAS High Perf. Analytics";"SAS_HIGH_PERF_ANALYTICS";"Хранилище \ Аналитика";"(вопрос)";;
"191";"SAS Metadata Server";"SAS_METADATA_SERVER";"Хранилище \ Аналитика";"(вопрос)";;
"192";"Sberbank Data Platform (Hadoop)";"SBERBANK_DATA_PLATFORM_HADOOP";"Хранилище \ Аналитика";"(вопрос)";;
"193";"SberSign";"SBERSIGN";"Клиентская часть\ Plug-in (клиентский)";"(вопрос)";;
"194";"ScyllaDB";"SCYLLADB";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/SCYLLADB.png?version=1&modificationDate=1633511328714&api=v2"";""Image"")";;
"195";"SDS / Object";"SDS__OBJECT";"Хранилище \ ФИР (хранилище)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/SDS__OBJECT.gif?version=1&modificationDate=1633511343487&api=v2"";""Image"")";;
"196";"Serverless";"SERVERLESS";"Серверная часть \ Serverless функция";"(вопрос)";;
"197";"Service";"SERVICE";"Серверная часть \ Фоновый процесс / демон";"(вопрос)";;
"198";"sh";"SH";"Серверная часть \ Серверная утилита / Shell script";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/SH.png?version=1&modificationDate=1633511795438&api=v2"";""Image"")";;
"199";"SingleStore";"SINGLESTORE";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/SINGLESTORE.png?version=1&modificationDate=1633512183945&api=v2"";""Image"")";;
"200";"Snowflake";"SNOWFLAKE";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/SNOWFLAKE.png?version=1&modificationDate=1633512355965&api=v2"";""Image"")";;
"201";"Solr";"SOLR";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/SOLR.png?version=1&modificationDate=1633512444186&api=v2"";""Image"")";;
"202";"SOWA Cloud Service";"SOWA_CLOUD_SERVICE";"Шлюз \ Шлюз безопасности (Security GW)";"(вопрос)";;
"203";"Spark SQL";;"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/SPARK_SQL.png?version=1&modificationDate=1633523067692&api=v2"";""Image"")";;
"204";"Sphinx";"SPHINX";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/SPHINX.jpg?version=1&modificationDate=1633523191785&api=v2"";""Image"")";;
"205";"Splunk";"SPLUNK";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/SPLUNK.png?version=1&modificationDate=1633523283862&api=v2"";""Image"")";;
"206";"SQLite";"SQLITE";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/SQLITE.png?version=1&modificationDate=1633523380489&api=v2"";""Image"")";;
"207";"Teradata";"TERADATA";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/TERADATA.png?version=1&modificationDate=1633524553409&api=v2"";""Image"")";;
"208";"Terracotta BigMemory";"TERRACOTTA_BIGMEMORY";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/TERRACOTTA_BIGMEMORY.png?version=1&modificationDate=1633524714671&api=v2"";""Image"")";;
"209";"TimescaleDB";"TIMESCALEDB";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/TIMESCALEDB.png?version=1&modificationDate=1633524920758&api=v2"";""Image"")";;
"210";"UniData,UniVerse";"UNIDATAUNIVERSE";"Хранилище \ СУБД (схема / данные)";"(вопрос)";;
"211";"Veritas Access / NFS";"VERITAS_ACCESS__NFS";"Хранилище \ ФИР (хранилище)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/VERITAS_ACCESS__NFS.png?version=1&modificationDate=1633525425837&api=v2"";""Image"")";;
"212";"Vertica";"VERTICA";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/VERTICA.png?version=1&modificationDate=1633525529036&api=v2"";""Image"")";;
"213";"VictoriaMetrics";"VICTORIAMETRICS";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/VICTORIAMETRICS.png?version=1&modificationDate=1633525594021&api=v2"";""Image"")";;
"214";"Virtuoso";"VIRTUOSO";"Хранилище \ СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/VIRTUOSO.png?version=1&modificationDate=1633525695543&api=v2"";""Image"")";;
"215";"WebSphere DataPower";"WEBSPHERE_DATAPOWER";"Шлюз \ Шлюз безопасности (Security GW)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/WEBSPHERE_DATAPOWER.png?version=1&modificationDate=1633526859615&api=v2"";""Image"")";;
"216";"Zookeeper";"ZOOKEEPER";"Обслуживание / поддержка \ Хранение конфигураций";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/ZOOKEEPER.png?version=1&modificationDate=1633527238128&api=v2"";""Image"")";;
"217";"Бинарный файл";"BINARY_FILE";"Клиентская часть \ Толстый (Desktop) клиент";"(вопрос)";;
"218";"Данные в Zookeeper";"FATA_IN_ZOOKEEPER";"Настройка \ Толстый (Desktop) клиент";"(вопрос)";;
"219";"Конфигурационный файл";"CONFIG_FILE";"Настройка \ Конфигурация";"(вопрос)";;
"220";"Секрет Kubernetes";"SECRET_KUBERNETES";"Настройка \ Секрет";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/SECRET_KUBERNETES.png?version=2&modificationDate=1633527715207&api=v2"";""Image"")";;
"221";"Секрет OpenShift";"SECRET_OPENSHIFT";"Настройка \ Секрет";"(вопрос)";;
"222";"Секрет в Хранилище секретов";"SECRET_IN_SECRET_STORE";"Настройка \ Секрет";"(вопрос)";;